id,number,title,user,state,created_at,updated_at,closed_at,merged_at,merge_commit_sha,additions,deletions,changed_files,comments,review_comments,labels,num_labels,commits_behind_main,commits_ahead_main,lines_changed,time_open_days,is_merged,is_forked,source_repo,is_draft,is_locked,is_needs_qa
2361463292,1501,TMF 728  dunning branch validated for all examples post merge of main branch into it,nitinkishorpatil,open,2025-02-27 07:39:03+00:00,2025-04-01 07:23:49+00:00,,,f8addaaea12818e103d793988ecdf3c40f849929,13930,3402,126,2,157,"['schemas', 'api', 'TMF723_Policy_Management', 'TMF728_Dunning']",4,7,226,17332,49,False,False,,False,False,False
2360344556,1500,TMF639 Resource Inventory - V5.0.0,LutzBettge,open,2025-02-26 18:00:40+00:00,2025-04-14 09:23:45+00:00,,,a9da256acc33a025324faa9df12ffb9f1a4312fa,8725,536,28,5,4,"['schemas', 'api', 'TMF639_Resource_Inventory', 'TMF759_Private_Optimized_Binding']",4,0,41,9261,49,False,False,,False,False,False
2348367378,1473,Creating pull request to merge 656v5.0.1 updates - AP-5776,sheiljab,open,2025-02-21 00:20:12+00:00,2025-03-05 06:43:09+00:00,,,,2314,1835,17,0,0,"['schemas', 'api', 'TMF656_Service_Problem', 'TMF924_DCS_5GSlice_Service_Activation']",4,200,10,4149,55,False,False,,False,False,False
2334362108,1467,Tmf938 wholesale broadband with examples,sharrop,open,2025-02-13 17:27:39+00:00,2025-04-16 12:45:51+00:00,,,77e83fd8502106e2bada3fce21fb82667041c1a9,19841,3,296,0,0,"['schemas', 'api']",2,0,174,19844,62,False,False,,False,False,False
2334132281,1466,TMF673-GeographicAddress: Schema and example fix to accommodate tooling issue ,sharrop,open,2025-02-13 15:40:01+00:00,2025-03-07 17:36:15+00:00,,,,154,480,27,1,0,"['bug', 'schemas', 'api', 'TMF648_Quote', 'TMF656_Service_Problem', 'TMF640_Service_Activation', 'TMF673_Geographic_Address', 'TMF674_Geographic_Site', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF646_Appointment', 'TMF935_Wholesale_Carrier_Ethernet', 'TMF622_Product_Ordering', 'TMF637_Product_Inventory', 'TMF663_Shopping_Cart', 'TMF679_Product_Offering_Qualification', 'TMF760_Product_Configuration', 'TMF691_Federated_ID', 'TMF638_Service_Inventory', 'TMF641_Service_Ordering', 'TMF645_Service_Qualification', 'TMF696_Risk_Management', 'TMF697_Work_Order', 'TMF700_Shipping_Order']",23,45,8,634,63,False,False,,False,False,False
2316870625,1457,Tmf621 trouble ticket - update rule file with new minor version 5.0.1,jacobavraham,open,2025-02-05 07:16:03+00:00,2025-03-23 15:47:13+00:00,,,93ccc7f7df575014b2f25ded2155ffaa925f8170,2106,7895,45,1,54,"['api', 'TMF621_Trouble_Ticket']",2,45,10,10001,71,False,False,,False,False,False
2304285077,1451,TMF770 Fraud Fixed examples,subhanshu-shukla-ril,open,2025-01-29 11:19:13+00:00,2025-04-15 03:07:31+00:00,,,ba2e84623b14b07e702551231b9466693a858cdc,35465,85,78,0,51,"['schemas', 'api', 'TMF640_Service_Activation', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF770_Fraud_Management']",5,0,13,35550,78,False,False,,False,False,False
2304228114,1450,Tmf717 customer360,abhilash-prasad,open,2025-01-29 10:51:51+00:00,2025-02-25 14:27:06+00:00,,,,3397,4046,57,1,0,"['schemas', 'api', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF654_PrepayBalance', 'TMF717_Customer360', 'TMF649_Performance_Thresholding', 'TMF761_Resource_Qualification']",7,314,16,7443,78,False,False,,False,False,False
2293713267,1437,AP-3223 TMF652 resource order management V4 to V5 Migration,abhilash-prasad,open,2025-01-23 06:28:26+00:00,2025-02-24 12:05:06+00:00,,,,24587,80,130,5,1,"['schemas', 'api', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF679_Product_Offering_Qualification', 'TMF761_Resource_Qualification', 'TMF652_Resource_Order']",6,333,17,24667,84,False,False,,False,False,False
2291399847,1433,AP-3454 Tmf689 resource portability management migration v4 to v5,abhilash-prasad,open,2025-01-22 05:46:03+00:00,2025-02-21 13:54:29+00:00,,,,22012,21,56,0,0,"['schemas', 'api', 'TMF689_Resource_Portability']",3,344,11,22033,85,False,False,,False,False,False
2275651253,1423,AP-6498 Ais tmf677 usage consumption,rochanam,open,2025-01-14 01:30:41+00:00,2025-04-08 07:17:00+00:00,,,b8ef3b29f25f434b0547cd2efffff040cdb7335e,2766,8,12,3,24,"['api', 'TMF677_Usage_Consumption']",2,45,9,2774,93,False,False,,False,False,False
2263097142,1414,AP-4900 Tmf764 cost,anuaualkh,open,2025-01-07 05:46:19+00:00,2025-04-16 04:01:58+00:00,,,8db130e3cf5e80295a59e715d42c321ccdf216b8,11508,3,93,0,57,"['schemas', 'api', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF764_Cost_Management']",4,0,51,11511,100,False,False,,False,False,False
2250577467,1398,AP-3241 - TMF654 Prepay Balance Management - Updated conformance profile,rochanam,open,2024-12-24 07:11:15+00:00,2025-03-17 02:27:43+00:00,,,4c3108c7aa2ef1b8eb24beacdd6123b8216f0dce,542,484,20,0,29,"['api', 'TMF654_PrepayBalance']",2,335,6,1026,114,False,False,,False,False,False
2239032857,1386,Update TMF637 dev  branch with tooling fixes,AnhTuanOrange,open,2024-12-17 08:25:49+00:00,2025-04-09 11:35:21+00:00,,,,217467,95141,4447,2,0,['TMF637_Product_Inventory'],1,0,0,312608,121,False,False,,False,False,False
2228393521,1382,AP-6348 TMF676 Payment Management API - account field should be optional in a Payment,rochanam,open,2024-12-11 09:00:50+00:00,2025-01-28 04:54:37+00:00,,,,4,2,1,0,0,"['schemas', 'TMF924_DCS_5GSlice_Service_Activation', 'TMF676_Payment']",3,333,3,6,127,False,False,,False,False,False
2228321831,1381,AP-3293 Added the strongly-typed characteristics to the TMF666 rules file.  Fixed examples. TMF666_Account,rochanam,open,2024-12-11 08:21:41+00:00,2025-04-09 12:44:53+00:00,,,36649e12f003be6e40e6fca93544db2f60d7dc3b,2949,1995,8,0,5,"['api', 'TMF666_Account']",2,612,1,4944,127,False,False,,False,False,False
